#    L    TT             EE             BB             TE          
   222    5.71388E+03    9.29760E-01    1.60119E-02    1.65979E+01
   223    5.73416E+03    9.57325E-01    1.61503E-02    1.84744E+01
   224    5.75082E+03    9.88218E-01    1.63430E-02    2.00843E+01
   225    5.73616E+03    1.01712E+00    1.65396E-02    2.13904E+01
   226    5.70516E+03    1.04472E+00    1.66452E-02    2.28394E+01
   227    5.69144E+03    1.07776E+00    1.67513E-02    2.47241E+01
   228    5.69500E+03    1.11955E+00    1.69034E-02    2.67736E+01
   229    5.67372E+03    1.16159E+00    1.70522E-02    2.84086E+01
   230    5.64593E+03    1.19607E+00    1.71885E-02    2.96217E+01
   231    5.64654E+03    1.23185E+00    1.73301E-02    3.11511E+01
   232    5.66272E+03    1.27378E+00    1.75245E-02    3.31101E+01
   233    5.66441E+03    1.31866E+00    1.77211E-02    3.50294E+01
   234    5.65020E+03    1.36876E+00    1.78897E-02    3.68403E+01
   235    5.64132E+03    1.42169E+00    1.80378E-02    3.86926E+01
   236    5.64100E+03    1.47076E+00    1.81606E-02    4.03908E+01
   237    5.63343E+03    1.52168E+00    1.83290E-02    4.18460E+01
   238    5.62618E+03    1.57713E+00    1.85604E-02    4.33014E+01
   239    5.62576E+03    1.63485E+00    1.87596E-02    4.50227E+01
   240    5.61533E+03    1.68989E+00    1.89046E-02    4.67432E+01
   241    5.59333E+03    1.74515E+00    1.90434E-02    4.83597E+01
   242    5.56491E+03    1.81206E+00    1.91415E-02    5.01442E+01
   243    5.53982E+03    1.88189E+00    1.92549E-02    5.18185E+01
   244    5.53397E+03    1.94572E+00    1.94235E-02    5.34641E+01
   245    5.52857E+03    2.01102E+00    1.95958E-02    5.50867E+01
   246    5.51120E+03    2.07801E+00    1.97516E-02    5.66302E+01
   247    5.49792E+03    2.15053E+00    1.99039E-02    5.83514E+01
   248    5.48243E+03    2.23544E+00    2.00310E-02    6.02286E+01
   249    5.45177E+03    2.31610E+00    2.01204E-02    6.17633E+01
   250    5.42756E+03    2.39552E+00    2.02601E-02    6.31863E+01
   251    5.41578E+03    2.48084E+00    2.04714E-02    6.48303E+01
   252    5.39859E+03    2.56753E+00    2.06491E-02    6.65658E+01
   253    5.38356E+03    2.66153E+00    2.07692E-02    6.84138E+01
   254    5.36939E+03    2.75459E+00    2.09436E-02    7.01145E+01
   255    5.34155E+03    2.83625E+00    2.12133E-02    7.14497E+01
   256    5.31013E+03    2.91708E+00    2.14413E-02    7.26986E+01
   257    5.28987E+03    3.00864E+00    2.15516E-02    7.40479E+01
   258    5.29038E+03    3.10995E+00    2.16217E-02    7.57869E+01
   259    5.28967E+03    3.21998E+00    2.17419E-02    7.78291E+01
   260    5.27242E+03    3.32536E+00    2.19347E-02    7.94870E+01
   261    5.23727E+03    3.42006E+00    2.21119E-02    8.05336E+01
   262    5.19474E+03    3.52408E+00    2.22625E-02    8.17506E+01
   263    5.15773E+03    3.64103E+00    2.24379E-02    8.32675E+01
   264    5.12230E+03    3.75599E+00    2.25927E-02    8.45671E+01
   265    5.10040E+03    3.86584E+00    2.27484E-02    8.58618E+01
   266    5.09567E+03    3.98530E+00    2.29333E-02    8.75091E+01
   267    5.08491E+03    4.10535E+00    2.30757E-02    8.89827E+01
   268    5.06579E+03    4.21955E+00    2.31582E-02    9.01446E+01
   269    5.03458E+03    4.35404E+00    2.32634E-02    9.16081E+01
   270    4.99772E+03    4.49768E+00    2.34765E-02    9.33119E+01
   271    4.97094E+03    4.62352E+00    2.37098E-02    9.47379E+01
   272    4.94794E+03    4.74164E+00    2.38174E-02    9.57816E+01
   273    4.91877E+03    4.86140E+00    2.39085E-02    9.65638E+01
   274    4.89259E+03    4.98964E+00    2.40948E-02    9.74664E+01
   275    4.86463E+03    5.13760E+00    2.42635E-02    9.87417E+01
