#    L    TT             EE             BB             TE
   135    3.84547E+03    1.11132E+00    5.32767E-03    -4.24796E+01
   136    3.93756E+03    1.12767E+00    5.41426E-03    -4.37268E+01
   137    3.95637E+03    1.12159E+00    5.52166E-03    -4.38848E+01
   138    3.97861E+03    1.12490E+00    5.60249E-03    -4.40594E+01
   139    4.00565E+03    1.12046E+00    5.62567E-03    -4.40920E+01
   140    4.01370E+03    1.12334E+00    5.71453E-03    -4.41876E+01
   141    4.03665E+03    1.12695E+00    5.88077E-03    -4.43822E+01
   142    4.04984E+03    1.10966E+00    5.98409E-03    -4.43627E+01
   143    4.14463E+03    1.12367E+00    5.97957E-03    -4.54907E+01
   144    4.15585E+03    1.11154E+00    6.16916E-03    -4.46655E+01
   145    4.22792E+03    1.11188E+00    6.16662E-03    -4.52293E+01
   146    4.31778E+03    1.12471E+00    6.26778E-03    -4.68313E+01
   147    4.32476E+03    1.11363E+00    6.37977E-03    -4.62657E+01
   148    4.31778E+03    1.10739E+00    6.46779E-03    -4.61862E+01
   149    4.29517E+03    1.09422E+00    6.61945E-03    -4.55055E+01
   150    4.35296E+03    1.09326E+00    6.60261E-03    -4.56750E+01
   151    4.36348E+03    1.07958E+00    6.77287E-03    -4.49943E+01
   152    4.37448E+03    1.07757E+00    6.90528E-03    -4.55724E+01
   153    4.46255E+03    1.08241E+00    6.96295E-03    -4.56111E+01
   154    4.46834E+03    1.07875E+00    7.07666E-03    -4.55320E+01
   155    4.55046E+03    1.08132E+00    7.23961E-03    -4.62963E+01
   156    4.58419E+03    1.05764E+00    7.31351E-03    -4.59126E+01
   157    4.57984E+03    1.04782E+00    7.38889E-03    -4.54108E+01
   158    4.69789E+03    1.07316E+00    7.49473E-03    -4.68778E+01
   159    4.61115E+03    1.02720E+00    7.69327E-03    -4.42741E+01
   160    4.74182E+03    1.02905E+00    7.80598E-03    -4.56296E+01
   161    4.72253E+03    1.01930E+00    7.84100E-03    -4.47990E+01
   162    4.74098E+03    1.01144E+00    7.85700E-03    -4.49198E+01
   163    4.73086E+03    1.00294E+00    8.00672E-03    -4.39834E+01
   164    4.79433E+03    9.97545E-01    8.20417E-03    -4.40916E+01
   165    4.85137E+03    9.84443E-01    8.32022E-03    -4.38763E+01
   166    4.86819E+03    9.67194E-01    8.33363E-03    -4.29578E+01
   167    4.88131E+03    9.63060E-01    8.64192E-03    -4.33337E+01
   168    4.87146E+03    9.63926E-01    8.62374E-03    -4.30396E+01
   169    4.94868E+03    9.33601E-01    8.73351E-03    -4.16384E+01
   170    5.01790E+03    9.40430E-01    8.85634E-03    -4.26644E+01
   171    4.94509E+03    9.14710E-01    8.89563E-03    -4.07525E+01
   172    5.00155E+03    9.23160E-01    9.14079E-03    -4.12007E+01
   173    5.00402E+03    9.00573E-01    9.16826E-03    -4.01058E+01
   174    5.09926E+03    8.85861E-01    9.22146E-03    -3.96656E+01
   175    5.13217E+03    8.89282E-01    9.52123E-03    -3.95895E+01
   176    5.18148E+03    8.74931E-01    9.51795E-03    -3.88616E+01
   177    5.07453E+03    8.49944E-01    9.71558E-03    -3.70356E+01
   178    5.23002E+03    8.38497E-01    9.81854E-03    -3.70008E+01
   179    5.16768E+03    8.23505E-01    9.99616E-03    -3.57741E+01
   180    5.22174E+03    8.22678E-01    1.00221E-02    -3.53500E+01
   181    5.21580E+03    8.18879E-01    1.01242E-02    -3.46916E+01
   182    5.20031E+03    8.00346E-01    1.03070E-02    -3.35755E+01
   183    5.28332E+03    7.94395E-01    1.03441E-02    -3.29778E+01
   184    5.34023E+03    7.94678E-01    1.05090E-02    -3.26668E+01
   185    5.38890E+03    7.88148E-01    1.06877E-02    -3.23468E+01
   186    5.34927E+03    7.70951E-01    1.07539E-02    -3.07440E+01
   187    5.36986E+03    7.57394E-01    1.10231E-02    -2.96852E+01
   188    5.40124E+03    7.48775E-01    1.11385E-02    -2.84015E+01
   189    5.39157E+03    7.42569E-01    1.11659E-02    -2.77828E+01
   190    5.41542E+03    7.34839E-01    1.13304E-02    -2.67734E+01
   191    5.44789E+03    7.17151E-01    1.12942E-02    -2.51569E+01
   192    5.49474E+03    7.19679E-01    1.15085E-02    -2.47142E+01
   193    5.41187E+03    7.11712E-01    1.16175E-02    -2.31988E+01
   194    5.48065E+03    7.01172E-01    1.18305E-02    -2.27821E+01
   195    5.47830E+03    7.01361E-01    1.20038E-02    -2.11313E+01
   196    5.51052E+03    6.94521E-01    1.22066E-02    -2.05001E+01
   197    5.53547E+03    6.90284E-01    1.22258E-02    -1.91024E+01
   198    5.58029E+03    6.91747E-01    1.23459E-02    -1.83915E+01
   199    5.62676E+03    6.84824E-01    1.24704E-02    -1.68975E+01
   200    5.54558E+03    6.90639E-01    1.26513E-02    -1.53390E+01
   201    5.53398E+03    6.89150E-01    1.27889E-02    -1.36646E+01
   202    5.60135E+03    6.79287E-01    1.31155E-02    -1.29351E+01
   203    5.60948E+03    6.89742E-01    1.31068E-02    -1.13123E+01
   204    5.64867E+03    6.99932E-01    1.34024E-02    -1.04524E+01
   205    5.62496E+03    6.94242E-01    1.34252E-02    -8.85062E+00
   206    5.64942E+03    6.93471E-01    1.36670E-02    -7.26692E+00
   207    5.70941E+03    6.95747E-01    1.37765E-02    -5.64812E+00
   208    5.65938E+03    7.11503E-01    1.39690E-02    -4.87559E+00
   209    5.61316E+03    7.26390E-01    1.41967E-02    -3.41162E+00
   210    5.71607E+03    7.16779E-01    1.41763E-02    -1.74741E+00
   211    5.71548E+03    7.30267E-01    1.43105E-02    -7.07928E-01
   212    5.65235E+03    7.53157E-01    1.44001E-02    1.05034E+00
   213    5.69043E+03    7.55992E-01    1.46867E-02    3.15653E+00
   214    5.69899E+03    7.83423E-01    1.46966E-02    3.83964E+00
   215    5.66824E+03    7.85896E-01    1.49503E-02    6.30238E+00
   216    5.66966E+03    8.20966E-01    1.50905E-02    6.78307E+00
   217    5.73851E+03    8.23850E-01    1.51178E-02    8.92084E+00
   218    5.69872E+03    8.36974E-01    1.55021E-02    1.03745E+01
   219    5.67823E+03    8.64129E-01    1.54774E-02    1.13216E+01
   220    5.66459E+03    8.75925E-01    1.56569E-02    1.39036E+01
   221    5.71045E+03    9.10290E-01    1.59872E-02    1.42563E+01
   222    5.71079E+03    9.26092E-01    1.59504E-02    1.67121E+01
   223    5.71409E+03    9.53602E-01    1.61640E-02    1.85601E+01
   224    5.79844E+03    9.92276E-01    1.62358E-02    2.05005E+01
   225    5.72828E+03    1.01881E+00    1.67418E-02    2.11967E+01
   226    5.71145E+03    1.04190E+00    1.65601E-02    2.25457E+01
   227    5.63782E+03    1.07101E+00    1.67132E-02    2.45696E+01
   228    5.75592E+03    1.11668E+00    1.69508E-02    2.70460E+01
   229    5.66315E+03    1.17554E+00    1.70110E-02    2.90460E+01
   230    5.62286E+03    1.19034E+00    1.72622E-02    2.90888E+01
   231    5.63203E+03    1.22685E+00    1.72111E-02    3.08618E+01
   232    5.68115E+03    1.27628E+00    1.75717E-02    3.32827E+01
   233    5.67584E+03    1.31577E+00    1.77461E-02    3.52311E+01
   234    5.64427E+03    1.36135E+00    1.78592E-02    3.65616E+01
   235    5.62431E+03    1.43502E+00    1.81140E-02    3.89586E+01
   236    5.65933E+03    1.46253E+00    1.81032E-02    4.05007E+01
   237    5.63214E+03    1.52250E+00    1.82693E-02    4.19816E+01
   238    5.60766E+03    1.57461E+00    1.85859E-02    4.29497E+01
   239    5.64456E+03    1.63557E+00    1.88612E-02    4.49761E+01
   240    5.61814E+03    1.70001E+00    1.87906E-02    4.73203E+01
   241    5.59128E+03    1.72637E+00    1.91734E-02    4.75245E+01
   242    5.57857E+03    1.81397E+00    1.90877E-02    5.08977E+01
